nombreOferta;precioActual;precioAnterior;imagenOferta;urlOferta;categoria
Mejillones a la marinera en salsa de tomate Aguinamar 900 g;7.25;6.95;https://static.carrefour.es/hd_280x_/img_pim_food/879809_00_1.jpg;https://www.carrefour.es/supermercado/mejillones-a-la-marinera-en-salsa-de-tomate-aguinamar-900-g/R-787017814/p?prtId=cat20002;1
Mejillón fresco cocido en su jugo 900 g;7.25;6.95;https://static.carrefour.es/hd_280x_/img_pim_food/879796_00_1.jpg;https://www.carrefour.es/supermercado/mejillon-fresco-cocido-en-su-jugo-900-g/R-787017804/p?prtId=cat20002;1
Filetes de Lomo Bajo de Añojo Círculo de Calidad 500 g aprox;9.44;7.49;https://static.carrefour.es/hd_280x_/img_pim_food/390821_00_1.jpg;https://www.carrefour.es/supermercado/filetes-de-lomo-bajo-de-anojo-circulo-de-calidad-500-g-aprox-cyo/R-fprod1460210/p?prtId=cat20002;1
Entrecot/Lomo de añojo Calidad y Origen Carrefour 500 g aprox;8.30;7.49;https://static.carrefour.es/hd_280x_/img_pim_food/842661_00_1.jpg;https://www.carrefour.es/supermercado/entrecot-lomo-de-anojo-calidad-y-origen-carrefour-500-g-aprox-cyo/R-prod840026/p?prtId=cat20002;1
Queso fresco desnatado Burgo de Arias pack de 3 unidades de 72 g.;2.89;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/406599_00_1.jpg;https://www.carrefour.es/supermercado/queso-fresco-desnatado-burgo-de-arias-pack-de-3-unidades-de-72-g-burgo-de-arias/R-521030573/p?prtId=cat20002;1
Colas de langostino cocidas Aguinamar 90 g;3.65;3.20;https://static.carrefour.es/hd_280x_/img_pim_food/113954_00_1.jpg;https://www.carrefour.es/supermercado/colas-de-langostino-cocidas-aguinamar-90-g/R-556201495/p?prtId=cat20002;1
Queso fresco protein plus Burgo de Arias pack 3 unidades de 70 g.;3.39;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/154444_00_1.jpg;https://www.carrefour.es/supermercado/queso-fresco-protein-plus-burgo-de-arias-pack-3-unidades-de-70-g-burgo-de-arias/R-VC4AECOMM-154444/p?prtId=cat20002;1
Maletín de Paleta de Cebo Ibérica 50% Raza Ibérica en lonchas Carrefour El Mercado 10 sobres de 70 g;39.00;35.00;https://static.carrefour.es/hd_280x_/img_pim_food/118243_00_1.jpg;https://www.carrefour.es/supermercado/maletin-de-paleta-de-cebo-iberica-50-raza-iberica-en-lonchas-carrefour-el-mercado-10-sobres-de-70-g-carrefour/R-VC4AECOMM-118243/p?prtId=cat20002;1
Lomo alto de añojo limpio pieza/entera sin corte Calidad y Origen Carrefour 7 kg aprox;132.23;104.93;https://static.carrefour.es/hd_280x_/img_pim_food/318905_00_1.jpg;https://www.carrefour.es/supermercado/lomo-alto-de-anojo-limpio-pieza-entera-sin-corte-calidad-y-origen-carrefour-7-kg-aprox-cyo/R-fprod1260092/p?prtId=cat20002;1
Leche semidesnatada Président brik 1 l.;1.10;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/002785_00_1.jpg;https://www.carrefour.es/supermercado/leche-semidesnatada-president-brik-1-l-president/R-521007081/p?prtId=cat20001;2
Leche semidesnatada Central Lechera Asturiana botella 1,5 l.;1.85;1.69;https://static.carrefour.es/hd_280x_/img_pim_food/049424_00_1.jpg;https://www.carrefour.es/supermercado/leche-semidesnatada-central-lechera-asturiana-botella-1-5-l-central-lechera-asturiana/R-521007077/p?prtId=cat20001;2
Leche entera Président brik 1 l.;1.10;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/022155_00_1.jpg;https://www.carrefour.es/supermercado/leche-entera-president-brik-1-l-president/R-521006988/p?prtId=cat20001;2
Leche entera Central Lechera Asturiana botella 1,5 l.;1.85;1.69;https://static.carrefour.es/hd_280x_/img_pim_food/002882_00_1.jpg;https://www.carrefour.es/supermercado/leche-entera-central-lechera-asturiana-botella-1-5-l-central-lechera-asturiana/R-521030168/p?prtId=cat20001;2
Leche desnatada Président brik 1 l.;1.10;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/002786_00_1.jpg;https://www.carrefour.es/supermercado/leche-desnatada-president-brik-1-l-president/R-521007083/p?prtId=cat20001;2
Aceite de oliva original 0,4º Carbonell 5 l.;41.95;26.50;https://static.carrefour.es/hd_280x_/img_pim_food/000015_00_1.jpg;https://www.carrefour.es/supermercado/aceite-de-oliva-original-0-4-carbonell-5-l-carbonell/R-522713382/p?prtId=cat20001;2
