nombre;precio_original;precio_actual;imagen;url
CARRETILLA espárragos blancos cortos gruesos frasco 110 gr;3,25 €;2,60 €;https://s0.dia.es/medias/h0f/h65/11090908938270.jpg;https://www.dia.es/compra-online/despensa/conservas/conservas-vegetales/p/2513
YOPRO yogur líquido proteínas sabor vainilla botella 300 gr;2,79 €;2,09 €;https://s3.dia.es/medias/productimages/h2a/h3b/11394670624798.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/yogures/p/258515
DIA LACTEA queso fundido 24 porciones caja 375 gr;2,39 €;1,91 €;https://s2.dia.es/medias/productimages/hb1/h81/11338299310110.jpg;https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/quesos/p/264064
SELECCIÓN DE DIA solomillos de pollo empanados bandeja (peso aprox. 500 gr);4,75 €;3,79 €;https://s2.dia.es/medias/productimages/h1a/h05/11296894124062.jpg;https://www.dia.es/compra-online/frescos/carne/pollo/p/266078
YOPRO yogur líquido proteínas sabor fresa botella 300 gr;2,79 €;2,09 €;https://s2.dia.es/medias/h4a/he6/10458871103518.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/yogures/p/268862
CIDACOS guisantes pack 3 unidades x 120 gr;3,15 €;2,52 €;https://s0.dia.es/medias/productimages/h35/hef/11090958942238.jpg;https://www.dia.es/compra-online/despensa/conservas/conservas-vegetales/p/269294
ASTURIANA leche semidesnatada envase 1 lt;1,14 €;1,12 €;https://s3.dia.es/medias/productimages/h34/h99/11373857996830.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/leche/p/17548
SELECCIÓN DE DIA hamburguesa big New York bandeja 340 gr;3,99 €;3,19 €;https://s2.dia.es/medias/hf2/hc4/10635675336734.jpg;https://www.dia.es/compra-online/frescos/carne/vacuno/p/273119
DIA NUESTRA ALACENA jamón serrano reserva en medias lonchas envase 100 gr;1,79 €;1,43 €;https://s0.dia.es/medias/productimages/h7a/hd3/10824509882398.jpg;https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/curados/p/274052
TANQUERAY sin alcohol 0,0 botella 70 cl;16,99 €;15,99 €;https://s2.dia.es/medias/productimages/h68/h8d/11037835493406.jpg;https://www.dia.es/compra-online/bodega/alcoholes/ginebra/p/277594
RUAVIEJA licor de crema de orujo light botella 70 cl;12,79 €;11,50 €;https://s1.dia.es/medias/productimages/hdb/h02/10902587834398.jpg;https://www.dia.es/compra-online/bodega/licores/cremas/p/282424
BAILEYS licor de crema whisky light botella 70 cl;14,99 €;13,99 €;https://s2.dia.es/medias/productimages/h55/h9f/11158090055710.jpg;https://www.dia.es/compra-online/bodega/licores/cremas/p/287936
SEAGRAM'S whisky botella 70 cl;15,40 €;13,50 €;https://s3.dia.es/medias/productimages/h15/he0/11317027700766.jpg;https://www.dia.es/compra-online/bodega/alcoholes/whisky/p/289692
PULEVA leche omega3 envase 1 lt;1,89 €;1,79 €;https://s1.dia.es/medias/productimages/h2a/h3e/11384499994654.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/leche/p/30052
DANONE ACTIVIA bífidus natural 0% M.G pack 4 unidades 120 gr;2,69 €;2,39 €;https://s1.dia.es/medias/productimages/h4b/hb8/11402464133150.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/yogures/p/3211
DIA UPSS refresco de naranja botella 2 lt;0,99 €;0,79 €;https://s3.dia.es/medias/productimages/hac/ha4/10781562601502.jpg;https://www.dia.es/compra-online/bebidas/refrescos/p/35484
LA VIEJA FABRICA mermelada de frambuesa frasco 350 gr;3,05 €;2,44 €;https://s0.dia.es/medias/productimages/h02/he2/11286969974814.jpg;https://www.dia.es/compra-online/despensa/desayunos-y-dulces/mermeladas-miel-y-frutas-en-almibar/p/37440
COCA-COLA clásica pack 2 botellas 2 lt;4,00 €;3,68 €;https://s0.dia.es/medias/productimages/h75/h36/11397271748638.jpg;https://www.dia.es/compra-online/bebidas/refrescos/p/38406
SAN MIGUEL cerveza lata 50 cl;0,99 €;0,79 €;https://s2.dia.es/medias/productimages/hf2/h4d/11094467608606.jpg;https://www.dia.es/compra-online/bebidas/cervezas/nacionales/p/43818
AQUARIUS bebida refrescante de limón lata 33 cl;0,85 €;0,80 €;https://s0.dia.es/medias/productimages/h35/h9b/11397249073182.jpg;https://www.dia.es/compra-online/bebidas/bebidas-isotonicas-y-energeticas/p/5138
BALLANTINES whisky botella 70 cl;12,99 €;12,50 €;https://s2.dia.es/medias/productimages/h99/h5a/11317067350046.jpg;https://www.dia.es/compra-online/bodega/alcoholes/whisky/p/48997
MAHOU 5 ESTRELLAS cerveza pack 12 botellas 25 cl;7,08 €;6,02 €;https://s1.dia.es/medias/productimages/ha1/hbf/11078553796638.jpg;https://www.dia.es/compra-online/bebidas/cervezas/nacionales/p/5600
ASTURIANA nata azucarada spray 250 ml;2,75 €;2,49 €;https://s2.dia.es/medias/productimages/hf5/hda/11380846395422.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/nata/p/5691
RUAVIEJA licor de hierbas botella 70 cl;10,00 €;8,99 €;https://s2.dia.es/medias/productimages/h24/hec/11358549114910.jpg;https://www.dia.es/compra-online/bodega/licores/de-hierbas/p/55935
ASTURIANA nata para cocinar envase 500 ml;2,79 €;2,65 €;https://s0.dia.es/medias/h3c/hfa/11373750255646.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/nata/p/56937
BUITONI piccolinis 3 quesos caja 270 gr;4,25 €;3,06 €;https://s3.dia.es/medias/hfb/hc4/11373757464606.jpg;https://www.dia.es/compra-online/congelados/pizzas-bases-y-masas/p/53629
CACIQUE ron añejo botella 70 cl;13,99 €;12,99 €;https://s2.dia.es/medias/hc1/haa/10847114952734.jpg;https://www.dia.es/compra-online/bodega/alcoholes/ron/p/6069
PESCANOVA corazones de merluza caja 500 gr;6,79 €;5,25 €;https://s1.dia.es/medias/productimages/hab/h7e/10943950520350.jpg;https://www.dia.es/compra-online/congelados/pescado-y-marisco/p/69088
BAILEYS licor de crema whisky original botella 70 cl;14,99 €;13,99 €;https://s1.dia.es/medias/productimages/h8f/hce/10848675233822.jpg;https://www.dia.es/compra-online/bodega/licores/cremas/p/7389
BUITONI piccolinis de jamón y queso caja 270 gr;4,25 €;3,06 €;https://s2.dia.es/medias/productimages/h8f/h92/11397338398750.jpg;https://www.dia.es/compra-online/congelados/pizzas-bases-y-masas/p/78874
PULEVA batido al cacao pack 6 unidades 200 ml;2,69 €;2,39 €;https://s1.dia.es/medias/h1b/h12/11384429707294.jpg;https://www.dia.es/compra-online/bebidas/batidos-y-horchata/p/81206
COCA-COLA zero pack 2 botellas 2 lt;4,00 €;3,68 €;https://s2.dia.es/medias/productimages/hde/h98/10996069171230.jpg;https://www.dia.es/compra-online/bebidas/refrescos/p/82492
JOHNNIE WALKER whisky red label botella 70 cl;14,99 €;13,99 €;https://s2.dia.es/medias/h60/h4d/10848663699486.jpg;https://www.dia.es/compra-online/bodega/alcoholes/whisky/p/7772
ANIS DEL MONO licor de anís dulce botella 70 cl;8,10 €;7,99 €;https://s2.dia.es/medias/productimages/hb7/hfe/10936425480222.jpg;https://www.dia.es/compra-online/bodega/licores/anis/p/79597
J&B whisky botella 70 cl;12,99 €;11,99 €;https://s1.dia.es/medias/productimages/he7/hd3/11321131696158.jpg;https://www.dia.es/compra-online/bodega/alcoholes/whisky/p/947
DIA TEMPTATION chocolate con leche tableta 2 x 150 gr;1,70 €;1,27 €;https://s2.dia.es/medias/productimages/ha2/h71/11004985081886.jpg;https://www.dia.es/compra-online/despensa/desayunos-y-dulces/chocolates-y-bombones/p/82865
DIA UPSS refresco de limón botella 2 lt;0,99 €;0,79 €;https://s0.dia.es/medias/productimages/h4f/hbd/11208113979422.jpg;https://www.dia.es/compra-online/bebidas/refrescos/p/82954
ASTURIANA leche desnatada envase 1 lt PACK 6;6,84 €;6,72 €;https://s3.dia.es/medias/productimages/hd5/h75/10717076062238.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/leche/p/16066P6
ASTURIANA leche semidesnatada envase 1 lt PACK 6;6,84 €;6,72 €;https://s2.dia.es/medias/productimages/h38/hbd/10717078913054.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/leche/p/17548P6
ASTURIANA leche entera envase 1 lt PACK 6;6,84 €;6,72 €;https://s1.dia.es/medias/productimages/h42/h31/10717083893790.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/leche/p/16065P6
GREFUSA MisterCorn cócktail frutos de secos mix5 bolsa 160 gr;1,99 €;1,65 €;https://s2.dia.es/medias/productimages/hdc/h30/11403593908254.jpg;https://www.dia.es/compra-online/despensa/aperitivos/p/279660
MISTER CORN GREFUSA maíz frito BBQ bolsa 160 gr;1,99 €;1,65 €;https://s3.dia.es/medias/productimages/h68/h49/11403593252894.jpg;https://www.dia.es/compra-online/despensa/aperitivos/p/279707
MAHOU cerveza sin alcohol lata 33 cl;0,67 €;0,55 €;https://s1.dia.es/medias/h7f/hd0/11186206310430.jpg;https://www.dia.es/compra-online/bebidas/cervezas/sin-alcohol/p/29352
